intent_name,tag_name
background-define_name,CCAI
change_details-change_phone_number,CCAI
conversational-greeting,BAU
conversational-ok,BAU
feedback-been_very_helpful,CCAI
feedback-upset,CCAI
login_issues-forgot_password,CCAI
login_issues-forgot_username,CCAI
login_issues-general_cant_login,BAU
login_issues-two_factor_issue,BAU
membership_enquiries-membership_levels_and_benefits,BAU
membership_enquiries-pay_subscription_fee,BAU
membership_enquiries-premium_how_long_lasts,BAU
membership_enquiries-premium_membership_enquiry,BAU
membership_enquiries-premium_signup,BAU
membership_enquiries-subscription_added_by_mistake,CCAI
membership_enquiries-subscription_status,CCAI
membership_enquiries-what_happens_if_late_with_payment,CCAI
membership_enquiries-when_is_annual_fee_due,BAU
shipping_issues-change_in_situation,BAU
shipping_issues-confirm_change_shipping_address,BAU
shipping_issues-do_i_qualify_for_free_shipping,CCAI
shipping_issues-return_policy_query,BAU
shipping_issues-shipping_cost,BAU
shipping_issues-status_order,CCAI
shopping_issues-always_out_of_stock,BAU
shopping_issues-embroidery_price_request,CCAI
shopping_issues-item_question,BAU
shopping_issues-missing_credit_on_account,BAU
shopping_issues-release_date_for_collection,BAU
technical_issues-general_issue,CCAI
technical_issues-its_fixed,CCAI
technical_issues-promo_code_issue,BAU
technical_issues-rejected_credit_card,BAU
technical_issues-search_issue-general_search_issue,CCAI
technical_issues-search_issue-no_search_results,BAU
technical_issues-search_issue-search_fixed,CCAI
technical_issues-search_issue-search_slow,BAU
technical_issues-search_issue-unrelated_results,BAU
technical_issues-website_slow,BAU
